67.2364 	EXP 	cue: autoDraw = False
67.2364 	EXP 	target: autoDraw = True
67.5536 	DATA 	Keypress: left
67.5543 	EXP 	New trial (rep=1, index=6): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', 500), ('corrAns', u'right'), ('valid', 1), ('SOA_frames', 12)])
67.5694 	EXP 	cue: autoDraw = False
67.5694 	EXP 	target: autoDraw = False
67.5694 	EXP 	fixationITI: autoDraw = True
68.9196 	EXP 	fixationITI: autoDraw = False
68.9196 	EXP 	fixationITI: autoDraw = False
68.9196 	EXP 	cue: ori = 90.0
68.9196 	EXP 	target: pos = array([ 500.,    0.])
68.9196 	EXP 	cue: autoDraw = True
69.1196 	EXP 	cue: autoDraw = False
69.1196 	EXP 	target: autoDraw = True
69.4207 	DATA 	Keypress: right
69.4214 	EXP 	New trial (rep=1, index=7): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', 500), ('corrAns', u'right'), ('valid', 1), ('SOA_frames', 48)])
69.4366 	EXP 	cue: autoDraw = False
69.4366 	EXP 	target: autoDraw = False
69.4366 	EXP 	fixationITI: autoDraw = True
70.5036 	EXP 	fixationITI: autoDraw = False
70.5036 	EXP 	fixationITI: autoDraw = False
70.5036 	EXP 	cue: ori = 90.0
70.5036 	EXP 	target: pos = array([ 500.,    0.])
70.5036 	EXP 	cue: autoDraw = True
71.3048 	EXP 	cue: autoDraw = False
71.3048 	EXP 	target: autoDraw = True
71.5397 	DATA 	Keypress: left
71.5404 	EXP 	New trial (rep=1, index=8): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', -500), ('corrAns', u'left'), ('valid', 0), ('SOA_frames', 24)])
71.5554 	EXP 	cue: autoDraw = False
71.5554 	EXP 	target: autoDraw = False
71.5554 	EXP 	fixationITI: autoDraw = True
71.7898 	DATA 	Keypress: right
72.6539 	EXP 	fixationITI: autoDraw = False
72.6539 	EXP 	fixationITI: autoDraw = False
72.6539 	EXP 	cue: ori = 90.0
72.6539 	EXP 	target: pos = array([-500.,    0.])
72.6539 	EXP 	cue: autoDraw = True
73.0545 	EXP 	cue: autoDraw = False
73.0545 	EXP 	target: autoDraw = True
73.4557 	DATA 	Keypress: left
73.4564 	EXP 	New trial (rep=1, index=9): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', -500), ('corrAns', u'left'), ('valid', 1), ('SOA_frames', 12)])
73.4709 	EXP 	cue: autoDraw = False
73.4709 	EXP 	target: autoDraw = False
73.4709 	EXP 	fixationITI: autoDraw = True
74.5548 	EXP 	fixationITI: autoDraw = False
74.5548 	EXP 	fixationITI: autoDraw = False
74.5548 	EXP 	cue: ori = -90.0
74.5548 	EXP 	target: pos = array([-500.,    0.])
74.5548 	EXP 	cue: autoDraw = True
74.7548 	EXP 	cue: autoDraw = False
74.7548 	EXP 	target: autoDraw = True
75.1559 	DATA 	Keypress: left
75.1566 	EXP 	New trial (rep=1, index=10): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', -500), ('corrAns', u'left'), ('valid', 1), ('SOA_frames', 48)])
75.1716 	EXP 	cue: autoDraw = False
75.1716 	EXP 	target: autoDraw = False
75.1716 	EXP 	fixationITI: autoDraw = True
76.2399 	EXP 	fixationITI: autoDraw = False
76.2399 	EXP 	fixationITI: autoDraw = False
76.2399 	EXP 	cue: ori = -90.0
76.2399 	EXP 	target: pos = array([-500.,    0.])
76.2399 	EXP 	cue: autoDraw = True
77.0400 	EXP 	cue: autoDraw = False
77.0400 	EXP 	target: autoDraw = True
77.3740 	DATA 	Keypress: left
77.3748 	EXP 	New trial (rep=1, index=11): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', -500), ('corrAns', u'left'), ('valid', 0), ('SOA_frames', 12)])
77.3901 	EXP 	cue: autoDraw = False
77.3901 	EXP 	target: autoDraw = False
77.3901 	EXP 	fixationITI: autoDraw = True
78.4560 	EXP 	fixationITI: autoDraw = False
78.4560 	EXP 	fixationITI: autoDraw = False
78.4560 	EXP 	cue: ori = 90.0
78.4560 	EXP 	target: pos = array([-500.,    0.])
78.4560 	EXP 	cue: autoDraw = True
78.6560 	EXP 	cue: autoDraw = False
78.6560 	EXP 	target: autoDraw = True
79.0240 	DATA 	Keypress: left
79.0247 	EXP 	New trial (rep=1, index=12): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', 500), ('corrAns', u'right'), ('valid', 0), ('SOA_frames', 12)])
79.0399 	EXP 	cue: autoDraw = False
79.0399 	EXP 	target: autoDraw = False
79.0399 	EXP 	fixationITI: autoDraw = True
80.1232 	EXP 	fixationITI: autoDraw = False
80.1232 	EXP 	fixationITI: autoDraw = False
80.1232 	EXP 	cue: ori = -90.0
80.1232 	EXP 	target: pos = array([ 500.,    0.])
80.1232 	EXP 	cue: autoDraw = True
80.3232 	EXP 	cue: autoDraw = False
80.3232 	EXP 	target: autoDraw = True
80.6084 	DATA 	Keypress: right
80.6091 	EXP 	New trial (rep=1, index=13): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', 500), ('corrAns', u'right'), ('valid', 1), ('SOA_frames', 6)])
80.6233 	EXP 	cue: autoDraw = False
80.6233 	EXP 	target: autoDraw = False
80.6233 	EXP 	fixationITI: autoDraw = True
81.8252 	EXP 	fixationITI: autoDraw = False
81.8252 	EXP 	fixationITI: autoDraw = False
81.8252 	EXP 	cue: ori = 90.0
81.8252 	EXP 	target: pos = array([ 500.,    0.])
81.8252 	EXP 	cue: autoDraw = True
81.9251 	EXP 	cue: autoDraw = False
81.9251 	EXP 	target: autoDraw = True
82.3760 	DATA 	Keypress: right
82.3767 	EXP 	New trial (rep=1, index=14): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', -500), ('corrAns', u'left'), ('valid', 0), ('SOA_frames', 6)])
82.3920 	EXP 	cue: autoDraw = False
82.3920 	EXP 	target: autoDraw = False
82.3920 	EXP 	fixationITI: autoDraw = True
83.6075 	EXP 	fixationITI: autoDraw = False
83.6075 	EXP 	fixationITI: autoDraw = False
83.6075 	EXP 	cue: ori = 90.0
83.6075 	EXP 	target: pos = array([-500.,    0.])
83.6075 	EXP 	cue: autoDraw = True
83.7074 	EXP 	cue: autoDraw = False
83.7074 	EXP 	target: autoDraw = True
83.9933 	DATA 	Keypress: left
