9.8779 	EXP 	window1: blendMode = 'avg'
9.8783 	EXP 	window1: blendMode = 'avg'
9.8791 	EXP 	window1: blendMode = 'avg'
9.8943 	EXP 	window1: blendMode = 'avg'
9.8947 	EXP 	window1: blendMode = 'avg'
9.8951 	EXP 	window1: blendMode = 'avg'
9.8960 	EXP 	window1: blendMode = 'avg'
9.9107 	EXP 	window1: blendMode = 'avg'
9.9110 	EXP 	window1: blendMode = 'avg'
9.9114 	EXP 	window1: blendMode = 'avg'
9.9122 	EXP 	window1: blendMode = 'avg'
9.9274 	EXP 	window1: blendMode = 'avg'
9.9277 	EXP 	window1: blendMode = 'avg'
9.9281 	EXP 	window1: blendMode = 'avg'
9.9289 	EXP 	window1: blendMode = 'avg'
9.9443 	EXP 	window1: blendMode = 'avg'
9.9448 	EXP 	window1: blendMode = 'avg'
9.9452 	EXP 	window1: blendMode = 'avg'
9.9460 	EXP 	window1: blendMode = 'avg'
9.9606 	EXP 	window1: blendMode = 'avg'
9.9611 	EXP 	window1: blendMode = 'avg'
9.9614 	EXP 	window1: blendMode = 'avg'
9.9623 	EXP 	window1: blendMode = 'avg'
9.9775 	EXP 	window1: blendMode = 'avg'
9.9780 	EXP 	window1: blendMode = 'avg'
9.9784 	EXP 	window1: blendMode = 'avg'
9.9792 	EXP 	window1: blendMode = 'avg'
9.9937 	EXP 	window1: blendMode = 'avg'
9.9941 	EXP 	window1: blendMode = 'avg'
9.9944 	EXP 	window1: blendMode = 'avg'
9.9953 	EXP 	window1: blendMode = 'avg'
10.0106 	EXP 	window1: blendMode = 'avg'
10.0110 	EXP 	window1: blendMode = 'avg'
10.0113 	EXP 	window1: blendMode = 'avg'
10.0120 	EXP 	window1: blendMode = 'avg'
10.0275 	EXP 	window1: blendMode = 'avg'
10.0280 	EXP 	window1: blendMode = 'avg'
10.0284 	EXP 	window1: blendMode = 'avg'
10.0293 	EXP 	window1: blendMode = 'avg'
10.0446 	EXP 	window1: blendMode = 'avg'
10.0450 	EXP 	window1: blendMode = 'avg'
10.0454 	EXP 	window1: blendMode = 'avg'
10.0463 	EXP 	window1: blendMode = 'avg'
10.0605 	EXP 	window1: blendMode = 'avg'
10.0608 	EXP 	window1: blendMode = 'avg'
10.0612 	EXP 	window1: blendMode = 'avg'
10.0621 	EXP 	window1: blendMode = 'avg'
10.0775 	EXP 	window1: blendMode = 'avg'
10.0779 	EXP 	window1: blendMode = 'avg'
10.0783 	EXP 	window1: blendMode = 'avg'
10.0791 	EXP 	window1: blendMode = 'avg'
10.0943 	EXP 	window1: blendMode = 'avg'
10.0947 	EXP 	window1: blendMode = 'avg'
10.0951 	EXP 	window1: blendMode = 'avg'
