12.5795 	EXP 	window1: blendMode = 'avg'
12.5956 	EXP 	window1: blendMode = 'avg'
12.6127 	EXP 	window1: blendMode = 'avg'
12.6287 	EXP 	window1: blendMode = 'avg'
12.6457 	EXP 	window1: blendMode = 'avg'
12.6627 	EXP 	window1: blendMode = 'avg'
12.6787 	EXP 	window1: blendMode = 'avg'
12.6949 	EXP 	window1: blendMode = 'avg'
12.7127 	EXP 	window1: blendMode = 'avg'
12.7286 	EXP 	window1: blendMode = 'avg'
12.7457 	EXP 	window1: blendMode = 'avg'
12.7626 	EXP 	window1: blendMode = 'avg'
12.7794 	EXP 	window1: blendMode = 'avg'
12.7959 	EXP 	window1: blendMode = 'avg'
12.8127 	EXP 	window1: blendMode = 'avg'
12.8297 	EXP 	window1: blendMode = 'avg'
12.8457 	EXP 	window1: blendMode = 'avg'
12.8626 	EXP 	window1: blendMode = 'avg'
12.8794 	EXP 	window1: blendMode = 'avg'
12.8959 	EXP 	window1: blendMode = 'avg'
12.9128 	EXP 	window1: blendMode = 'avg'
12.9287 	EXP 	window1: blendMode = 'avg'
12.9457 	EXP 	window1: blendMode = 'avg'
12.9627 	EXP 	window1: blendMode = 'avg'
12.9786 	EXP 	window1: blendMode = 'avg'
12.9956 	EXP 	window1: blendMode = 'avg'
13.0126 	EXP 	window1: blendMode = 'avg'
13.0295 	EXP 	window1: blendMode = 'avg'
13.0456 	EXP 	window1: blendMode = 'avg'
13.0626 	EXP 	window1: blendMode = 'avg'
13.0798 	EXP 	window1: blendMode = 'avg'
13.0958 	EXP 	window1: blendMode = 'avg'
13.1127 	EXP 	window1: blendMode = 'avg'
13.1286 	EXP 	window1: blendMode = 'avg'
13.1457 	EXP 	window1: blendMode = 'avg'
13.1627 	EXP 	window1: blendMode = 'avg'
13.1788 	EXP 	window1: blendMode = 'avg'
13.1957 	EXP 	window1: blendMode = 'avg'
13.2126 	EXP 	window1: blendMode = 'avg'
13.2296 	EXP 	window1: blendMode = 'avg'
13.2457 	EXP 	window1: blendMode = 'avg'
13.2626 	EXP 	window1: blendMode = 'avg'
13.2796 	EXP 	window1: blendMode = 'avg'
13.2956 	EXP 	window1: blendMode = 'avg'
13.3120 	EXP 	window1: blendMode = 'avg'
13.3288 	EXP 	window1: blendMode = 'avg'
13.3458 	EXP 	window1: blendMode = 'avg'
13.3628 	EXP 	window1: blendMode = 'avg'
13.3788 	EXP 	window1: blendMode = 'avg'
13.3957 	EXP 	window1: blendMode = 'avg'
13.4127 	EXP 	window1: blendMode = 'avg'
13.4297 	EXP 	window1: blendMode = 'avg'
13.4456 	EXP 	window1: blendMode = 'avg'
13.4627 	EXP 	window1: blendMode = 'avg'
13.4798 	EXP 	window1: blendMode = 'avg'
13.4958 	EXP 	window1: blendMode = 'avg'
13.5127 	EXP 	window1: blendMode = 'avg'
13.5287 	EXP 	window1: blendMode = 'avg'
13.5467 	EXP 	window1: blendMode = 'avg'
13.5626 	EXP 	window1: blendMode = 'avg'
13.5796 	EXP 	window1: blendMode = 'avg'
13.5956 	EXP 	window1: blendMode = 'avg'
13.6126 	EXP 	window1: blendMode = 'avg'
13.6297 	EXP 	window1: blendMode = 'avg'
13.6456 	EXP 	window1: blendMode = 'avg'
13.6627 	EXP 	window1: blendMode = 'avg'
